zip,count
99645,10
99827,1
99926,1
35016,1
35077,5
35115,7
35203,2
35401,13
35550,3
35633,3
35903,10
35986,6
36305,106
36420,24
36530,2
36575,3
36580,1
36602,2
36613,1
36701,25
71638,2
71665,4
71676,1
71753,1
71852,2
71901,10
72006,2
72022,4
72519,1
72650,1
72904,8
85009,9
85041,8
85086,36
85140,2
85207,9
85212,6
85234,47
85250,1
85268,25
85284,50
85295,14
85306,138
85367,8
85378,1
85383,14
85603,7
85648,5
85653,15
85747,3
85929,4
86336,20
86440,1
86512,1
90005,8
90010,1
90016,3
90021,4
90032,3
90066,3
90248,5
90275,11
90280,43
90291,1
90401,4
90660,7
90716,4
90732,87
90804,15
90815,85
91024,8
91040,1
91107,17
91206,49
91316,4
91321,9
91701,1
91746,1
91762,21
91773,32
92020,30
92054,21
92065,2
92081,25
92103,124
92236,30
92308,58
92324,63
92335,22
92346,12
92506,229
92677,86
92688,27
92704,79
92880,11
93012,1
93023,1
93221,5
93271,4
93277,18
93536,5
93552,11
93635,16
93640,1
93646,5
93662,7
93905,15
93921,1
94109,38
94510,10
94521,14
94539,1
94566,4
94577,1
94582,1
94703,1
95121,8
95348,2
95380,1
95409,1
95519,10
95540,19
95650,1
95695,1
95949,2
80021,27
80127,15
80138,26
80226,39
80237,5
80424,2
80550,1
80903,13
81008,69
81625,8
6830,3
6902,1
20010,252
19809,20
19940,3
32043,2
32054,10
32131,19
32137,100
32209,11
32225,12
32308,282
32324,1
32340,1
32610,22
32738,8
32765,67
32826,12
32837,72
32909,1
32952,15
33012,253
33062,40
33068,30
33073,41
33145,17
33156,24
33161,91
33167,7
33172,1
33183,32
33415,121
33426,70
33431,40
33437,136
33442,73
33487,15
33525,32
33541,17
33613,88
33624,8
33707,26
33712,20
33773,3
33872,13
33905,26
33971,2
34103,29
34109,37
34114,3
34202,10
34224,3
34240,4
34285,13
34429,37
34461,5
34472,5
34638,6
34654,11
34688,1
34715,6
34742,1
34787,26
34996,1
30004,30
30076,67
30087,29
30092,12
30103,1
30114,34
30180,23
30213,10
30263,7
30274,33
30290,10
30301,1
30312,17
30445,3
30461,1
30517,6
30528,3
30533,4
30643,7
30731,1
30809,34
30830,1
31029,3
31061,12
31095,1
31320,1
31331,1
31403,1
31513,4
31558,8
31601,2
31833,10
50208,1
50703,2
83404,3
60035,1
60046,8
60062,8
60073,2
60118,15
60134,3
60172,3
60426,10
60525,33
60559,92
60586,2
60602,5
60613,2
60647,24
61081,1
61114,1
61301,3
62034,2
62448,1
46011,2
46227,5
46254,4
46342,1
46540,3
46805,6
46970,4
47025,2
47102,2
47140,3
47201,2
47714,5
47725,2
66071,6
66226,12
66606,4
66739,1
67002,23
67211,3
40210,2
40509,22
40536,3
41042,12
41175,9
41224,10
41240,31
41301,8
41472,2
42029,1
70112,4
70123,3
70339,4
70454,2
70526,6
70542,1
70598,1
70647,1
70663,1
70719,56
70807,2
70818,3
71351,1
71369,1
71457,6
1581,1
1752,4
1801,5
1835,2
1950,3
2021,1
20639,5
20754,2
20770,124
20781,9
20837,1
20853,1
21001,14
21012,13
21084,2
21210,2
21228,60
21239,28
21244,6
21536,4
21613,35
21619,13
21635,6
21750,1
21784,14
21811,66
21921,102
48047,1
48328,4
48603,5
49032,1
55037,1
55125,1
55406,6
55422,8
63147,1
63361,1
63703,2
63775,1
63957,1
64116,14
64132,17
38947,1
38963,1
39216,3
39232,2
39403,7
39475,1
39563,3
39574,4
39601,8
59840,1
59923,16
27025,13
27030,117
27041,4
27102,1
27284,44
27356,2
27410,10
27455,14
27599,12
27824,1
27896,20
28127,1
28138,14
28170,1
28215,4
28226,23
28314,5
28341,15
28391,1
28402,2
28408,1
28458,5
28501,20
28557,78
28573,2
28584,19
28739,23
28771,4
28782,8
3102,2
3824,1
3885,2
7015,4
7026,12
7031,17
7042,54
7087,32
7109,79
7208,23
7307,21
7456,4
7505,1
7649,4
7726,35
7748,21
7753,107
7764,66
7825,1
7836,7
7852,2
7924,1
7940,2
8029,1
8056,1
8083,8
8110,6
8243,4
8270,3
8353,4
8540,49
8805,3
8810,8
8882,7
88063,2
89014,25
89030,15
89048,17
89102,11
89147,5
89703,39
10006,19
10017,72
10022,31
10033,49
10303,3
10314,17
10458,3
10463,5
10562,2
10573,1
10926,1
10992,2
11207,3
11218,14
11223,20
11229,27
11234,4
11245,2
11378,1
11416,6
11432,11
11520,33
11531,1
11565,5
11576,4
11691,5
11702,3
11713,2
11758,8
11763,11
11790,27
11801,14
11934,5
12010,2
12192,1
12203,39
12401,124
12446,1
12518,5
12534,4
12550,32
12561,25
12804,2
13118,1
13492,13
14004,1
14020,1
14225,1
14621,1
43004,1
43054,1
43081,29
43209,3
44106,1
44122,5
44266,2
44304,4
44320,3
44646,11
44707,1
44718,5
44833,3
44905,3
45042,1
45213,1
45219,19
45224,1
45323,5
45406,4
45505,5
45638,7
45764,2
45780,14
73018,1
73160,1
97013,3
97058,4
97470,15
97526,3
15090,15
15101,4
15229,3
15438,1
15697,1
18015,10
18020,9
18042,15
18103,6
18202,1
18301,35
18411,21
18445,4
18472,3
18643,1
18940,35
18969,6
18974,49
19018,3
19034,6
19050,3
19061,16
19072,11
19128,43
19133,13
19144,16
19320,38
19342,57
19403,52
19601,1
29114,1
29125,2
29301,43
29307,17
29483,9
29510,7
29555,2
29560,11
29566,71
29571,16
29582,7
29643,1
29649,1
29681,71
29841,2
29924,1
29935,2
37040,11
37062,2
37096,1
37217,5
37321,3
37377,3
37388,11
37404,19
37415,9
37701,6
37757,2
37917,25
38103,13
38225,4
38340,4
38351,2
38450,3
38506,8
38583,25
75020,43
75081,7
75087,10
75092,10
75103,2
75159,2
75180,1
75247,3
75418,3
76018,6
76023,2
76034,10
76106,19
76117,31
76133,35
76205,3
76430,2
76448,8
77003,26
77064,1
77080,4
77091,3
77345,2
77379,21
77406,1
77433,31
77478,157
77494,38
77505,63
77521,10
77532,1
77802,9
78006,37
78017,4
78220,25
78249,25
78380,18
78463,2
78501,95
78551,1
78596,25
78629,4
78722,4
78744,4
78832,3
79009,2
79119,1
79124,7
79410,8
79504,2
79763,6
79835,1
79934,13
84017,1
84116,6
84132,3
84341,1
20120,9
20165,3
20170,32
20176,42
22043,2
22153,2
22180,36
22407,27
22578,3
22655,7
22902,35
22936,3
22963,2
23111,73
23221,8
23354,7
23453,26
23464,23
23608,24
23669,7
23707,32
24136,1
24141,11
24368,5
24422,8
98002,10
98036,23
98052,7
98101,6
98146,2
98250,1
98405,9
98520,4
98812,1
99352,4
53211,1
24801,7
25309,55
25507,9
25550,4
25705,7
26206,2
26537,5
26719,3
26807,7
82070,6
35124,6
35180,4
35630,9
35801,111
35906,5
36066,32
36265,7
36352,2
36607,10
36695,9
36866,2
36921,5
71730,3
71762,3
72065,1
72113,10
72301,6
72543,20
72703,11
85012,46
85033,12
85040,30
85044,12
85204,32
85260,63
85344,3
85602,7
85623,3
85634,7
85710,108
85718,47
85735,7
85739,8
85746,32
85938,4
86432,3
90040,1
90048,29
90069,4
90211,25
90247,38
90630,21
90638,10
91006,81
91104,5
91205,52
91320,3
91324,12
91331,2
91352,3
91436,3
91607,2
91711,25
91722,3
91750,5
91754,38
91910,59
91914,6
91942,9
92014,1
92085,1
92101,24
92234,33
92262,436
92284,83
92405,13
92591,22
92604,63
92647,34
92675,24
92807,24
92835,15
92863,1
92867,2
93004,2
93015,3
93270,2
93274,52
93402,4
93612,7
93644,2
93720,29
93728,1
93940,24
94040,26
94107,9
94403,2
94526,27
94547,5
94558,13
94565,20
94597,186
94928,1
95020,17
95125,1
95240,1
95642,3
96007,3
96122,2
96150,2
96161,2
80003,2
80014,27
80126,5
80202,4
80230,47
80234,16
80241,2
80401,96
80433,2
80461,1
80517,2
80528,5
80643,1
80863,27
80911,15
80919,10
81019,5
81022,1
81050,8
81082,11
81601,8
6371,1
6762,3
6905,2
20020,29
19718,9
19801,15
19956,4
19967,11
